<0>	<3>							↉	U2189	VULGAR FRACTION ZERO THIRDS
<0>	<asciitilde>							⍬	U236c	0 ~ APL FUNCTIONAL SYMBOL ZILDE
<0>	<asterisk>							°	degree	DEGREE SIGN
<0>	<slash>							∅	U2205	EMPTY SET (thanks jsled!)
<1>	<1>	<0>						⅒	U2152	VULGAR FRACTION ONE TENTH
<1>	<2>							½	onehalf	VULGAR FRACTION ONE HALF
<1>	<3>							⅓	U2153	VULGAR FRACTION ONE THIRD
<1>	<3>							⅓	U2153	VULGAR FRACTION ONE THIRD
<1>	<4>							¼	onequarter	VULGAR FRACTION ONE QUARTER
<1>	<5>							⅕	U2155	VULGAR FRACTION ONE FIFTH
<1>	<5>							⅕	U2155	VULGAR FRACTION ONE FIFTH
<1>	<6>							⅙	U2159	VULGAR FRACTION ONE SIXTH
<1>	<6>							⅙	U2159	VULGAR FRACTION ONE SIXTH
<1>	<7>							⅐	U2150	VULGAR FRACTION ONE SEVENTH
<1>	<7>							⅐	U2150	VULGAR FRACTION ONE SEVENTH
<1>	<8>							⅛	U215B	VULGAR FRACTION ONE EIGHTH
<1>	<8>							⅛	U215B	VULGAR FRACTION ONE EIGHTH
<1>	<9>							⅑	U2151	VULGAR FRACTION ONE NINTH
<1>	<9>							⅑	U2151	VULGAR FRACTION ONE NINTH
<1>	<asciicircum>							¹	onesuperior	SUPERSCRIPT ONE
<1>	<slash>							⅟	U215F	FRACTION NUMERATOR ONE
<1>	<x>							⅒	U2152	VULGAR FRACTION ONE TENTH
<2>	<3>							⅔	U2154	VULGAR FRACTION TWO THIRDS
<2>	<3>							⅔	U2154	VULGAR FRACTION TWO THIRDS
<2>	<5>							⅖	U2156	VULGAR FRACTION TWO FIFTHS
<2>	<5>							⅖	U2156	VULGAR FRACTION TWO FIFTHS
<2>	<A>							Ꜳ	UA732	LATIN CAPITAL LETTER AA
<2>	<a>							ꜳ	UA733	LATIN SMALL LETTER AA
<2>	<asciicircum>							²	twosuperior	SUPERSCRIPT TWO
<2>	<asterisk>							⁑	U2051	TWO ASTERISKS ALIGNED VERTICALLY
<2>	<colon>							∷	U2237	PROPORTION -- not strictly 2 times COLON
<2>	<equal>							⩵	U2A75	TWO CONSECUTIVE EQUALS SIGNS
<2>	<exclam>							‼	U203C	DOUBLE EXCLAMATION MARK
<2>	<greater>	<parenright>						⟫	U27EB	MATHEMATICAL RIGHT DOUBLE ANGLE BRACKET
<2>	<less>	<parenleft>						⟪	U27EA	MATHEMATICAL LEFT DOUBLE ANGLE BRACKET
<2>	<O>							Ꝏ	UA74E	LATIN CAPITAL LETTER OO
<2>	<o>							ꝏ	UA74F	LATIN SMALL LETTER OO
<2>	<parenleft>							⸨	U2E28	LEFT DOUBLE PARENTHESIS
<2>	<parenright>							⸩	U2E29	RIGHT DOUBLE PARENTHESIS
<2>	<percent>	<parenleft>						⧚	U29DA	LEFT DOUBLE WIGGLY FENCE
<2>	<percent>	<parenright>						⧛	U29DB	RIGHT DOUBLE WIGGLY FENCE
<2>	<period>							‥	U2025	TWO DOT LEADER
<2>	<question>							⁇	U2047	DOUBLE QUESTION MARK
<3>	<3>							♣	U2663	BLACK CLUB SUIT
<3>	<4>							¾	threequarters	VULGAR FRACTION THREE QUARTERS
<3>	<5>							⅗	U2157	VULGAR FRACTION THREE FIFTHS
<3>	<5>							⅗	U2157	VULGAR FRACTION THREE FIFTHS
<3>	<8>							⅜	U215C	VULGAR FRACTION THREE EIGHTHS
<3>	<8>							⅜	U215C	VULGAR FRACTION THREE EIGHTHS
<3>	<asciicircum>							³	threesuperior	SUPERSCRIPT THREE
<3>	<asterisk>							⁂	U2042	ASTERISM
<3>	<equal>							⩶	U2A76	THREE CONSECUTIVE EQUALS SIGNS
<3>	<greater>							⋙	U22D9	VERY MUCH GREATER-THAN
<3>	<less>							⋘	U22D8	VERY MUCH LESS-THAN
<3>	<minus>							♠	U2660	BLACK SPADE SUIT
<3>	<s>	<q>						∛	U221B	CUBE ROOT
<4>	<5>							⅘	U2158	VULGAR FRACTION FOUR FIFTHS
<4>	<5>							⅘	U2158	VULGAR FRACTION FOUR FIFTHS
<4>	<s>	<q>						∜	U221C	FOURTH ROOT
<5>	<6>							⅚	U215A	VULGAR FRACTION FIVE SIXTHS
